benchmark,suite,n_ant,n_beam,n_ch,n_time,K,batch,n_dm,ch_fuse,n_batch,total_mean_ms,throughput_hz,beams_per_ch_sec,tflops,speedup,streams
dedisp_1600ch_1000dm_b64,dedisp,,64,1600,256,1600,513,1000,,,4.53,14112.8,,11.6,2.37,single
dedisp_1600ch_2000dm_b128,dedisp,,128,1600,256,1600,513,2000,,,7.87,16274.3,,26.7,4.77,single
dedisp_1600ch_2000dm_b16,dedisp,,16,1600,256,1600,513,2000,,,5.24,3054.8,,5.0,2.27,single
dedisp_1600ch_2000dm_b256,dedisp,,256,1600,256,1600,513,2000,,,14.72,17395.6,,28.5,4.90,single
dedisp_1600ch_2000dm_b32,dedisp,,32,1600,256,1600,513,2000,,,5.69,5627.1,,9.2,2.15,single
dedisp_1600ch_2000dm_b64,dedisp,,64,1600,256,1600,513,2000,,,5.16,12410.1,,20.3,3.95,single
dedisp_1600ch_2000dm_b64_pipe,dedisp,,64,1600,256,1600,513,2000,,,5.15,12431.7,,20.4,0.99,pipelined
dedisp_1600ch_512dm_b64,dedisp,,64,1600,256,1600,513,512,,,2.09,30593.5,,12.8,2.83,single
visbf_16ch_K128,visbf,1664,6000000,16,256,128,64,,,,21.44,46.6,2.80e+08,8.5,,single
visbf_1ch_K128,visbf,1664,6000000,1,256,128,4,,,,1.53,654.7,3.93e+09,7.4,,single
visbf_1ch_K256,visbf,1664,6000000,1,512,256,4,,,,1.58,634.4,3.81e+09,14.4,,single
visbf_1ch_K64,visbf,1664,6000000,1,128,64,4,,,,1.48,673.8,4.04e+09,3.8,,single
visbf_2ch_K128,visbf,1664,6000000,2,256,128,8,,,,2.73,366.0,2.20e+09,8.3,,single
visbf_32ch_K128,visbf,1664,6000000,32,256,128,128,,,,43.24,23.1,1.39e+08,8.4,,single
visbf_4ch_K128,visbf,1664,6000000,4,256,128,16,,,,5.17,193.3,1.16e+09,8.8,,single
visbf_8ch_K128,visbf,1664,6000000,8,256,128,32,,,,10.26,97.5,5.85e+08,8.8,,single
voltbf_16ch,voltbf,1664,4096,16,4000,1664,16,,,,22.76,43.9,1.80e+05,569.0,,single
voltbf_1ch,voltbf,1664,4096,1,4000,1664,1,,,,5.22,191.5,7.84e+05,100.7,,single
voltbf_2ch,voltbf,1664,4096,2,4000,1664,2,,,,9.56,104.6,4.28e+05,104.0,,single
voltbf_32ch,voltbf,1664,4096,32,4000,1664,32,,,,51.51,19.4,7.95e+04,571.0,,single
voltbf_4ch,voltbf,1664,4096,4,4000,1664,4,,,,5.48,182.4,7.47e+05,547.2,,single
voltbf_8ch,voltbf,1664,4096,8,4000,1664,8,,,,11.04,90.6,3.71e+05,558.6,,single
voltbf_M10240,voltbf,1664,4096,1,10240,1664,1,,,,12.77,78.3,3.21e+05,106.5,,single
voltbf_M12288,voltbf,1664,4096,1,12288,1664,1,,,,15.24,65.6,2.69e+05,107.5,,single
voltbf_M14336,voltbf,1664,4096,1,14336,1664,1,,,,17.71,56.5,2.31e+05,107.8,,single
voltbf_M16384,voltbf,1664,4096,1,16384,1664,1,,,,20.22,49.5,2.03e+05,108.4,,single
voltbf_M4096,voltbf,1664,4096,1,4096,1664,1,,,,5.27,189.8,7.78e+05,102.5,,single
voltbf_M6144,voltbf,1664,4096,1,6144,1664,1,,,,7.84,127.6,5.23e+05,103.6,,single
voltbf_M8192,voltbf,1664,4096,1,8192,1664,1,,,,10.34,96.8,3.96e+05,105.0,,single
voltbf_short_cf2,voltbf,1664,4096,1600,8,1664,1600,,2,1,,,,,,single
voltbf_short_cf4,voltbf,1664,4096,1600,8,1664,400,,4,1,11.50,86.9,3.56e+05,128.4,,single
voltbf_short_cf8,voltbf,1664,4096,1600,8,1664,200,,8,1,6.32,158.3,6.48e+05,245.6,,single
voltbf_short_cf8_nb16,voltbf,1664,4096,1600,8,1664,200,,8,16,68.79,232.6,9.53e+05,426.2,,single
voltbf_short_cf8_nb2,voltbf,1664,4096,1600,8,1664,200,,8,2,8.70,229.9,9.42e+05,375.0,,single
voltbf_short_cf8_nb4,voltbf,1664,4096,1600,8,1664,200,,8,4,15.98,250.3,1.03e+06,416.1,,single
voltbf_short_cf8_nb8,voltbf,1664,4096,1600,8,1664,200,,8,8,31.71,252.3,1.03e+06,433.1,,single
voltbf_short_unfused,voltbf,1664,4096,200,8,1664,200,,,,4.30,232.8,9.53e+05,42.2,,single
