benchmark,workload,gb10_ms,gh200_ms,observed_speedup,gb200_ms,gb200_lo,gb200_hi,gb200_speedup,vr200_ms,vr200_lo,vr200_hi,vr200_speedup
dedisp_1600ch_1000dm_b64,dedisp,38.96,4.53,8.60,1.73,1.05,2.75,22.6,0.66,0.25,1.35,58.8
dedisp_1600ch_2000dm_b128,dedisp,95.16,7.87,12.09,3.47,2.15,5.44,27.4,1.34,0.52,2.69,71.1
dedisp_1600ch_2000dm_b16,dedisp,36.35,5.24,6.94,1.94,1.21,2.95,18.7,0.65,0.26,1.21,56.1
dedisp_1600ch_2000dm_b256,dedisp,159.30,14.72,10.82,6.02,3.95,9.12,26.5,2.39,0.97,4.73,66.7
dedisp_1600ch_2000dm_b32,dedisp,45.17,5.69,7.94,2.20,1.39,3.34,20.5,0.77,0.31,1.47,58.9
dedisp_1600ch_2000dm_b64,dedisp,63.22,5.16,12.25,2.39,1.48,3.77,26.4,0.89,0.35,1.79,71.0
dedisp_1600ch_2000dm_b64_pipe,dedisp,61.91,5.15,12.02,2.62,1.70,3.79,23.6,0.82,0.35,1.42,75.5
dedisp_1600ch_512dm_b64,dedisp,26.98,2.09,12.91,0.95,0.53,1.65,28.4,0.42,0.15,0.92,65.0
visbf_16ch_K128,visbf,160.33,21.44,7.48,7.31,4.10,13.42,21.9,4.46,1.67,9.81,36.0
visbf_1ch_K128,visbf,10.24,1.53,6.69,0.52,0.28,0.98,19.6,0.32,0.11,0.72,32.1
visbf_1ch_K256,visbf,10.21,1.58,6.46,0.56,0.30,1.04,18.3,0.34,0.12,0.76,30.0
visbf_1ch_K64,visbf,10.14,1.48,6.85,0.49,0.26,0.94,20.5,0.30,0.11,0.69,33.6
visbf_2ch_K128,visbf,19.88,2.73,7.28,0.95,0.52,1.76,21.0,0.58,0.21,1.29,34.4
visbf_32ch_K128,visbf,322.84,43.24,7.47,14.77,8.33,27.02,21.9,9.01,3.39,19.76,35.8
visbf_4ch_K128,visbf,40.20,5.17,7.78,1.83,1.03,3.38,22.0,1.12,0.42,2.47,36.0
visbf_8ch_K128,visbf,80.67,10.26,7.86,3.60,1.98,6.74,22.4,2.20,0.80,4.93,36.7
voltbf_16ch,voltbf,207.53,22.76,9.12,11.52,8.05,15.61,18.0,5.44,2.49,9.02,38.1
voltbf_1ch,voltbf,17.30,5.22,3.31,1.47,0.68,2.99,11.8,0.56,0.18,1.34,30.7
voltbf_2ch,voltbf,34.43,9.56,3.60,2.77,1.35,5.44,12.4,1.03,0.35,2.34,33.4
voltbf_32ch,voltbf,641.02,51.51,12.44,31.26,18.72,50.64,20.5,15.85,6.05,32.12,40.5
voltbf_4ch,voltbf,44.56,5.48,8.13,2.56,1.81,3.40,17.4,1.15,0.53,1.87,38.8
voltbf_8ch,voltbf,91.71,11.04,8.31,5.25,3.69,7.04,17.5,2.40,1.10,3.93,38.3
voltbf_M10240,voltbf,46.94,12.77,3.68,3.75,1.77,7.53,12.5,1.46,0.47,3.46,32.1
voltbf_M12288,voltbf,56.78,15.24,3.73,4.50,2.13,9.03,12.6,1.76,0.57,4.17,32.2
voltbf_M14336,voltbf,67.93,17.71,3.84,5.28,2.49,10.65,12.9,2.08,0.66,4.96,32.7
voltbf_M16384,voltbf,78.65,20.22,3.89,6.09,2.90,12.15,12.9,2.40,0.78,5.68,32.7
voltbf_M4096,voltbf,17.74,5.27,3.37,1.49,0.70,3.02,11.9,0.57,0.18,1.36,31.1
voltbf_M6144,voltbf,26.88,7.84,3.43,2.24,1.05,4.53,12.0,0.86,0.28,2.05,31.2
voltbf_M8192,voltbf,36.74,10.34,3.55,2.99,1.41,6.04,12.3,1.16,0.37,2.76,31.7
voltbf_short_cf4,voltbf,114.09,11.50,9.92,5.37,3.75,7.24,21.3,1.76,0.81,2.89,64.7
voltbf_short_cf8,voltbf,71.49,6.32,11.31,3.16,2.04,4.63,22.6,1.07,0.46,1.91,66.6
voltbf_short_cf8_nb16,voltbf,556.52,68.79,8.09,30.51,21.13,41.86,18.2,12.05,5.43,20.42,46.2
voltbf_short_cf8_nb2,voltbf,98.29,8.70,11.30,4.38,2.78,6.53,22.4,1.54,0.64,2.81,63.7
voltbf_short_cf8_nb4,voltbf,153.93,15.98,9.63,7.50,5.10,10.47,20.5,2.71,1.20,4.69,56.9
voltbf_short_cf8_nb8,voltbf,276.77,31.71,8.73,14.31,10.18,19.17,19.3,5.33,2.46,8.88,52.0
voltbf_short_unfused,voltbf,50.30,4.30,11.70,2.18,1.42,3.17,23.0,0.72,0.31,1.28,70.0
